[2018-02-28 15:15:31,757]- [logger.py][line:53]-INFO: -----------点击登陆商城----------------
[2018-02-28 15:15:34,561]- [logger.py][line:53]-INFO: -----------输入员工工号----------------
[2018-02-28 15:15:34,765]- [logger.py][line:53]-INFO: -----------输入登陆密码----------------
[2018-02-28 15:15:35,043]- [logger.py][line:53]-INFO: -----------点击登陆按钮----------------
[2018-02-28 15:15:39,247]- [logger.py][line:53]-INFO: ------------切换到运营商城---------------
[2018-02-28 15:15:39,540]- [logger.py][line:53]-INFO: 打开秒杀界面
[2018-02-28 15:15:41,034]- [logger.py][line:53]-INFO: 切换到iframe
[2018-02-28 15:15:41,744]- [logger.py][line:53]-INFO: 点击添加秒杀
[2018-02-28 15:15:59,538]- [logger.py][line:53]-INFO: 输入活动名
[2018-02-28 15:16:03,780]- [logger.py][line:53]-INFO: 输入每人限购
[2018-02-28 15:22:12,087]- [logger.py][line:53]-INFO: -----------点击登陆商城----------------
[2018-02-28 15:22:12,627]- [logger.py][line:53]-INFO: -----------输入员工工号----------------
[2018-02-28 15:22:12,934]- [logger.py][line:53]-INFO: -----------输入登陆密码----------------
[2018-02-28 15:22:13,133]- [logger.py][line:53]-INFO: -----------点击登陆按钮----------------
[2018-02-28 15:22:18,264]- [logger.py][line:53]-INFO: ------------切换到运营商城---------------
[2018-02-28 15:22:19,257]- [logger.py][line:53]-INFO: 打开秒杀界面
[2018-02-28 15:22:19,922]- [logger.py][line:53]-INFO: 切换到iframe
[2018-02-28 15:22:21,036]- [logger.py][line:53]-INFO: 点击添加秒杀
[2018-02-28 15:22:34,011]- [logger.py][line:53]-INFO: 输入活动名
[2018-02-28 15:22:36,330]- [logger.py][line:53]-INFO: 输入每人限购
[2018-02-28 15:33:35,746]- [logger.py][line:53]-INFO: -----------测试开始----------------
[2018-02-28 15:33:54,057]- [logger.py][line:53]-INFO: -----------点击登陆商城----------------
[2018-02-28 15:33:54,680]- [logger.py][line:53]-INFO: -----------输入员工工号----------------
[2018-02-28 15:33:54,833]- [logger.py][line:53]-INFO: -----------输入登陆密码----------------
[2018-02-28 15:33:56,635]- [logger.py][line:53]-INFO: -----------点击登陆按钮----------------
